year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2018,services,"community, social and personal services",education,86.3,75.7,15.9,34.5,7.5,-,0.4,4.4
2018,services,"community, social and personal services",health and social services,91,85.4,19,41.8,9.7,2.2,3,3.4
2018,services,"community, social and personal services","other community, social and personal services",69.5,59.2,15.6,24.1,8,0.8,0.8,2.2
2019,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",62.3,47.4,14.5,15.5,8.1,3.9,2.3,2.3
2019,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,43.4,29.3,11.6,18.2,5.6,-,-,1
2019,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",60.4,29.6,28.4,18.9,10.1,3,4.1,6.5
2019,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,39.2,22.3,14.7,10.7,5.2,-,-,-
2019,manufacturing,electronic and computer products,electronic and computer products,56.7,30.5,14.2,31.2,5,-,-,2.1
2019,manufacturing,transport equipment,transport equipment,41.8,28.5,14.8,16.3,3.9,1.3,1.1,1.1
2019,manufacturing,other manufacturing industries,other manufacturing industries,47.7,19.9,10.6,21.9,11.3,-,-,1.3
2019,construction,construction,construction,28.8,17.1,12.7,7.8,1,-,0.8,1.4
2019,services,wholesale and retail trade,wholesale trade,51,30.3,12.5,21.7,5,0.7,0.8,0.7
2019,services,wholesale and retail trade,retail trade,64.3,51.6,16.8,15.4,8.6,1.2,1.2,3
2019,services,transportation and storage,land transport and supporting services,41,30.7,11.7,11.7,11.2,2.4,1,2.4
2019,services,transportation and storage,water transport and supporting services,46.5,28.1,10.8,22.7,6.5,-,-,0.5
2019,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2019,services,transportation and storage,other transport and storage services,44.7,27.8,15.2,20.4,5.8,0.6,-,2.3
2019,services,accommodation and food services,accommodation,73.3,44,18.1,40.5,0.9,1.7,0.9,7.8
2019,services,accommodation and food services,food and beverage services,73.5,59.9,18.8,21.6,5.9,3,1.4,1.7
2019,services,information and communications,"telecommunications, broadcasting and publishing",56.9,39.2,22.3,25.4,12.3,-,3.1,0.8
2019,services,information and communications,it and other information services,58,22,32.9,30.8,22.7,2.4,2.4,0.3
2019,services,financial and insurance services,financial services,61.2,41.1,18.8,33.8,16,1.5,3,4.3
2019,services,financial and insurance services,insurance services,66.7,40.6,14.6,43.8,14.6,-,-,4.2
2019,services,real estate services,real estate services,51.1,38,15.7,19.2,4.4,-,1.3,-
2019,services,professional services,"legal, accounting and management services",70.2,48.8,30,29.1,18.5,0.5,2.2,1
