freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C-E,EUR,RO	: 	: 	: 	: 	: 	1.47 	1.62 	1.70 	1.61 	1.79 	2.38 	2.73 	3.35 	: 
A,C-E,EUR,SE	19.87 	23.46 	24.19 	24.50 	25.48 	28.45 	27.16 	28.40 	29.90 	32.21 	32.65 	33.02 	34.73 	: 
A,C-E,EUR,SI	7.04 	7.20 	7.79 	8.46 	8.89 	8.42 	8.90 	9.43 	9.83 	9.82 	10.16 	10.52 	11.04 	: 
A,C-E,EUR,SK	: 	2.30 	2.56 	2.89 	2.68 	3.04 	3.17 	3.61 	4.06 	4.49 	4.69 	5.28 	6.44 	: 
A,C-E,EUR,UK	: 	14.79 	17.95 	19.63 	21.15 	23.81 	24.43 	25.27 	23.56 	24.99 	23.19 	24.04 	24.51 	: 
A,C-E,NAC,AT	: 	23.33 	23.50 	23.77 	24.34 	24.58 	25.39 	26.31 	26.99 	27.50 	28.08 	28.34 	28.91 	29.72 
A,C-E,NAC,BE	: 	: 	: 	: 	: 	29.11 	30.59 	32.07 	32.09 	33.15 	33.65 	34.59 	36.48 	37.47 
A,C-E,NAC,BG	: 	: 	: 	2.28 e	2.49 e	2.64 	2.75 	2.81 	2.91 	3.08 	3.23 	3.39 	3.85 	: 
A,C-E,NAC,CH	: 	: 	: 	: 	: 	47.11 	: 	50.07 	: 	50.71 	: 	52.55 	: 	54.60 
A,C-E,NAC,CY	: 	7.14 	7.55 	7.81 	7.93 	8.56 	8.85 	9.40 	10.10 	10.59 	10.95 	11.07 	11.67 	12.44 
A,C-E,NAC,CZ	81.53 	93.84 	103.75 	115.50 	121.73 	131.74 	151.35 	160.34 	169.27 	178.93 	185.93 	195.73 	210.92 	: 
A,C-E,NAC,DE	: 	24.51 	25.71 	26.18 	26.50 	27.90 	28.90 	29.50 	30.20 	30.30 	30.50 	31.70 	32.10 	: 
A,C-E,NAC,DK	: 	: 	170.80 	179.46 	185.79 	192.46 	203.45 	211.92 	221.08 	224.34 	233.88 	244.20 	257.17 	: 
A,C-E,NAC,EE	: 	1.84 	2.19 	2.48 	2.57 	2.84 	3.13 	3.46 	3.76 	4.03 	4.54 	5.28 	6.39 	7.32 
A,C-E,NAC,EL	7.80 	8.38 	9.02 	9.70 	10.43 	11.22 	12.07 	12.98 	13.97 	: 	: 	: 	: 	: 
A,C-E,NAC,ES	: 	15.54 	15.36 	15.36 	15.45 	15.51 	14.48 	15.24 	16.05 	16.73 	17.36 	18.05 	18.70 	: 
A,C-E,NAC,FI	: 	19.85 	19.93 	20.37 	21.13 	22.11 	23.77 	25.36 	26.40 	26.83 	28.39 	29.16 	29.75 	31.24 
A,C-E,NAC,FR	: 	22.64 	23.52 	23.96 	24.47 	25.62 	26.76 	27.71 	28.46 	29.48 	30.43 	31.47 	32.46 	33.46 
A,C-E,NAC,HU	: 	568.25 	673.56 	741.00 	812.00 	975.00 	1055.00 	1195.00 	1291.00 	1418.00 	1515.00 	1644.00 	1786.00 	: 
